timestamp,source_ip,source_port,destination_ip,destination_port,l4_proto,l2_proto,l7_proto
1716824064.742414,104.18.41.158,443,192.168.1.66,60092,TCP,2048,nil
1716824064.742738,192.168.1.66,60090,104.18.41.158,443,TCP,2048,nil
1716824064.742851,192.168.1.66,50879,104.18.41.158,443,UDP,2048,nil
1716824064.742881,192.168.1.66,60091,104.18.41.158,443,TCP,2048,nil
1716824064.742894,192.168.1.66,60094,104.18.41.158,443,TCP,2048,nil
1716824064.742905,192.168.1.66,60093,104.18.41.158,443,TCP,2048,nil
1716824064.742967,192.168.1.66,60091,104.18.41.158,443,TCP,2048,nil
1716824064.743006,192.168.1.66,60090,104.18.41.158,443,TCP,2048,nil
1716824064.743081,192.168.1.66,60092,104.18.41.158,443,TCP,2048,nil
1716824064.743104,192.168.1.66,60093,104.18.41.158,443,TCP,2048,nil
1716824064.743119,192.168.1.66,60094,104.18.41.158,443,TCP,2048,nil
1716824064.743163,192.168.1.66,60093,104.18.41.158,443,TCP,2048,nil
1716824064.743473,192.168.1.66,50879,104.18.41.158,443,UDP,2048,nil
1716824064.746609,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.746609,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.746609,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.746609,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.746609,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.746609,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.746609,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.7468,192.168.1.66,50879,104.18.41.158,443,UDP,2048,nil
1716824064.748288,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.748288,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.748288,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.748288,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.748806,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.748806,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.748806,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.748806,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.748806,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.748863,192.168.1.66,60092,104.18.41.158,443,TCP,2048,nil
1716824064.748883,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.748883,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.748883,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.748883,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
